City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Padang,ID,86.05,overcast clouds,-0.9492,100.3543,Mercure Padang
9,Cockburn Town,TC,78.19,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
11,Sao Joao Da Barra,BR,75.72,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
15,Hithadhoo,MV,83.34,overcast clouds,-0.6,73.0833,Scoop Guest House
17,Pontianak,ID,85.98,broken clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
23,Codrington,AU,76.3,broken clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
24,Bambous Virieux,MU,79.21,light rain,-20.3428,57.7575,Casa Tia Villa
25,New Norfolk,AU,76.66,few clouds,-42.7826,147.0587,The Shingles Riverside Cottages
26,Panama City,PA,80.29,few clouds,8.9936,-79.5197,Trump International Hotel & Tower Panama
27,Stabat,ID,80.8,overcast clouds,3.761,98.4513,Link VII damai
28,Rikitea,PF,79.21,light rain,-23.1203,-134.9692,People ThankYou
33,Kapaa,US,77.32,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
37,Souillac,MU,75.58,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
39,Atuona,PF,79.57,light rain,-9.8,-139.0333,Villa Enata
41,Arraial Do Cabo,BR,75.54,moderate rain,-22.9661,-42.0278,Pousada Porto Praia
42,Itarema,BR,75.97,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
47,Mahebourg,MU,78.26,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
55,Wukari,NG,80.15,overcast clouds,7.85,9.7833,Elimtop
58,Tautira,PF,82.17,overcast clouds,-17.7333,-149.15,Pension Oaoa
61,Carnarvon,AU,78.87,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
62,Saint-Philippe,RE,78.39,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
