City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Chuy,UY,-33.6971,-53.4616,63.95,94,2,4.68,clear sky
1,Yellowknife,CA,62.456,-114.3525,34.41,91,100,16.11,overcast clouds
2,Punta Arenas,CL,-53.15,-70.9167,39.31,87,20,6.91,few clouds
3,Strezhevoy,RU,60.7333,77.5889,13.33,84,49,9.13,scattered clouds
4,Padang,ID,-0.9492,100.3543,86.05,62,97,4.97,overcast clouds
5,Saskylakh,RU,71.9167,114.0833,10.69,92,82,3.98,broken clouds
6,Nouakchott,MR,18.0858,-15.9785,67.93,56,1,10.13,clear sky
7,Chulym,RU,55.0997,80.9572,31.6,78,88,15.21,overcast clouds
8,Faya,SA,18.3851,42.4509,53.71,30,0,2.15,clear sky
9,Cockburn Town,TC,21.4612,-71.1419,78.19,80,100,21.32,overcast clouds
10,Paamiut,GL,61.994,-49.6678,18.95,91,67,11.74,broken clouds
11,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.72,84,6,8.37,clear sky
12,Barrow,US,71.2906,-156.7887,3.22,72,75,14.97,haze
13,Mataura,NZ,-46.1927,168.8643,59.92,62,41,6.98,scattered clouds
14,Busselton,AU,-33.65,115.3333,63.64,43,63,9.75,broken clouds
15,Hithadhoo,MV,-0.6,73.0833,83.34,68,89,7.61,overcast clouds
16,Mount Isa,AU,-20.7333,139.5,96.57,14,7,6.91,clear sky
17,Pontianak,ID,-0.0333,109.3333,85.98,74,75,17.27,broken clouds
18,Bluff,NZ,-46.6,168.3333,57.81,72,83,20.8,broken clouds
19,Chokurdakh,RU,70.6333,147.9167,-9.0,90,8,9.13,clear sky
20,Klaksvik,FO,62.2266,-6.589,34.72,65,100,20.49,overcast clouds
21,Ushuaia,AR,-54.8,-68.3,38.86,81,0,4.61,clear sky
22,Port Macquarie,AU,-31.4333,152.9167,70.57,80,78,9.6,broken clouds
23,Codrington,AU,-38.2667,141.9667,76.3,47,82,13.35,broken clouds
24,Bambous Virieux,MU,-20.3428,57.7575,79.21,94,40,5.75,light rain
25,New Norfolk,AU,-42.7826,147.0587,76.66,31,12,6.87,few clouds
26,Panama City,PA,8.9936,-79.5197,80.29,88,20,9.22,few clouds
27,Stabat,ID,3.761,98.4513,80.8,64,100,2.33,overcast clouds
28,Rikitea,PF,-23.1203,-134.9692,79.21,74,6,16.87,light rain
29,Itaituba,BR,-4.2761,-55.9836,73.96,99,100,2.19,light rain
30,Adrar,MR,20.5022,-10.0711,68.9,14,0,9.89,clear sky
31,Springdale,US,36.1867,-94.1288,42.93,64,0,4.61,clear sky
32,Sitka,US,57.0531,-135.33,39.09,70,75,6.91,broken clouds
33,Kapaa,US,22.0752,-159.319,77.32,81,0,14.97,clear sky
34,Roald,NO,62.5833,6.1333,40.75,87,75,11.5,broken clouds
35,Comodoro Rivadavia,AR,-45.8667,-67.5,46.26,100,0,2.3,clear sky
36,Scarborough,GB,54.2797,-0.4044,34.66,80,8,3.0,clear sky
37,Souillac,MU,-20.5167,57.5167,75.58,94,40,5.75,scattered clouds
38,Rio Bananal,BR,-19.265,-40.3333,70.25,88,2,0.87,clear sky
39,Atuona,PF,-9.8,-139.0333,79.57,80,41,17.05,light rain
40,Castro,BR,-24.7911,-50.0119,62.47,94,96,0.49,overcast clouds
41,Arraial Do Cabo,BR,-22.9661,-42.0278,75.54,86,86,14.74,moderate rain
42,Itarema,BR,-2.9248,-39.9167,75.97,91,88,7.4,overcast clouds
43,Hilo,US,19.7297,-155.09,72.25,83,100,6.91,overcast clouds
44,Tigzirt,DZ,36.8886,4.1198,57.49,63,90,8.23,overcast clouds
45,Cape Town,ZA,-33.9258,18.4232,59.92,72,0,11.01,clear sky
46,Jamestown,US,42.097,-79.2353,38.79,77,100,5.75,overcast clouds
47,Mahebourg,MU,-20.4081,57.7,78.26,94,40,5.75,scattered clouds
48,Chilca,PE,-12.5211,-76.7372,67.08,86,73,2.77,broken clouds
49,Ribeira Grande,PT,38.5167,-28.7,57.7,67,22,34.92,few clouds
50,Homer,US,59.6425,-151.5483,30.79,78,100,11.01,light snow
51,Pisco,PE,-13.7,-76.2167,66.25,88,0,3.44,clear sky
52,Port Alfred,ZA,-33.5906,26.891,57.18,95,93,11.61,overcast clouds
53,Kaitangata,NZ,-46.2817,169.8464,62.24,57,23,8.72,few clouds
54,Ahipara,NZ,-35.1667,173.1667,69.06,57,1,3.0,clear sky
55,Wukari,NG,7.85,9.7833,80.15,72,100,7.27,overcast clouds
56,Katsuura,JP,35.1333,140.3,65.19,65,32,20.15,scattered clouds
57,Almaznyy,RU,48.0448,40.045,50.18,91,100,11.79,overcast clouds
58,Tautira,PF,-17.7333,-149.15,82.17,73,99,17.43,overcast clouds
59,Joshimath,IN,30.5667,79.5667,70.3,37,1,5.48,clear sky
60,Nizhniy Kuranakh,RU,58.8353,125.4869,27.37,71,100,6.78,overcast clouds
61,Carnarvon,AU,-24.8667,113.6333,78.87,61,40,18.41,scattered clouds
62,Saint-Philippe,RE,-21.3585,55.7679,78.39,85,60,9.69,light rain
63,Khatanga,RU,71.9667,102.5,15.15,91,59,4.63,broken clouds
64,Jiujiang,CN,29.7333,115.9833,82.67,32,18,7.09,few clouds
65,Fiche,ET,9.8,38.7333,51.55,39,1,2.89,clear sky
66,Jalu,LY,29.0331,21.5482,62.22,47,74,7.45,broken clouds
67,Manokwari,ID,-0.8667,134.0833,81.48,80,100,3.02,overcast clouds
68,Avarua,CK,-21.2078,-159.775,84.25,79,40,14.97,scattered clouds
69,Kulhudhuffushi,MV,6.6221,73.07,83.03,71,100,5.95,heavy intensity rain
70,Bredasdorp,ZA,-34.5322,20.0403,58.01,80,32,15.84,scattered clouds
71,Georgetown,MY,5.4112,100.3354,85.98,75,20,6.91,few clouds
72,Marshall,US,34.3834,-86.3333,44.91,61,100,4.61,overcast clouds
